SSN,GSN,DIS,RCP,NRF,IRS,INN,dis1,rcp1,typ1,irs1,lf1,dis2,rcp2,typ2,irs2,lf2,dis3,rcp3,typ3,irs3,lf3,dis4,rcp4,typ4,irs4,lf4,dis5,rcp5,typ5,irs5,lf5,NAN
10010089,1090,206,1,0.0,395,5,47,2,1,100,0.07,168,2,1,453,0.22,250,1,1,733,0.16,250,1,1,851,0.27,250,0,0,2510,0.28,
10010089,1145,97,1,0.0,300,5,35,1,1,136,0.1951219512195122,250,2,1,427,0.18292682926829268,250,1,1,733,0.2926829268292683,250,2,1,797,0.18292682926829268,250,0,0,2510,0.14634146341463414,
10010089,906,184,2,0.0,406,5,213,3,1,190,0.11818181818181818,222,3,1,443,0.2727272727272727,115,2,1,446,0.14545454545454545,250,2,1,943,0.33636363636363636,250,1,1,1821,0.12727272727272726,
10010089,919,115,2,0.0,446,5,184,2,1,406,0.14814814814814814,222,3,1,443,0.2222222222222222,250,2,1,969,0.23148148148148148,250,3,1,1046,0.21296296296296297,250,1,1,1821,0.18518518518518517,
10010089,959,128,2,0.0,343,5,126,2,1,106,0.13333333333333333,176,3,1,441,0.2,250,1,1,453,0.1,250,3,1,890,0.3333333333333333,250,2,1,969,0.23333333333333334,
10010089,966,126,2,0.0,106,5,128,2,1,343,0.2222222222222222,250,1,1,453,0.2777777777777778,250,2,1,648,0.16666666666666666,250,3,1,828,0.2037037037037037,250,3,1,890,0.12962962962962962,
10010089,1010,58,2,0.2,248,5,51,2,1,146,0.12195121951219512,1,1,0,195,0.2073170731707317,197,2,1,309,0.13414634146341464,250,1,1,851,0.23170731707317074,250,1,1,1821,0.3048780487804878,
10010089,1014,51,2,0.0,146,5,58,2,1,248,0.16666666666666666,197,2,1,309,0.23333333333333334,142,3,1,355,0.16666666666666666,250,2,1,570,0.2833333333333333,250,1,1,851,0.15,
10010089,1052,110,2,0.0,319,5,65,2,1,234,0.1511627906976744,120,3,1,238,0.16279069767441862,250,2,1,648,0.1511627906976744,250,3,1,1333,0.20930232558139536,250,1,1,1409,0.32558139534883723,
10010089,1088,65,2,0.0,234,5,46,3,1,200,0.06578947368421052,110,2,1,319,0.17105263157894737,250,2,1,964,0.34210526315789475,250,3,1,1333,0.3026315789473684,250,1,1,1409,0.11842105263157894,
