SSN,GSN,DIS,RCP,NRF,IRS,INN,dis1,rcp1,typ1,irs1,lf1,dis2,rcp2,typ2,irs2,lf2,dis3,rcp3,typ3,irs3,lf3,dis4,rcp4,typ4,irs4,lf4,dis5,rcp5,typ5,irs5,lf5,dis6,rcp6,typ6,irs6,lf6,NAN
10010089,1105,245,1,0.0,547,6,35,1,1,136,0.14615384615384616,78,2,1,177,0.015384615384615385,236,2,1,392,0.19230769230769232,250,2,1,427,0.16923076923076924,250,1,1,1409,0.2846153846153846,250,0,0,2510,0.19230769230769232,
10010089,964,250,2,0.0,969,6,128,2,1,343,0.13125,176,3,1,441,0.1625,115,2,1,446,0.15625,250,1,1,453,0.175,250,3,1,1046,0.075,250,1,1,1821,0.3,
10010089,991,197,2,0.0,309,6,13,3,1,49,0.05,51,2,1,146,0.175,58,2,1,248,0.1375,142,3,1,355,0.2125,250,2,1,943,0.15,250,1,1,1821,0.275,
10010089,1128,236,2,0.0,392,6,45,3,1,115,0.15306122448979592,78,2,1,177,0.16326530612244897,245,1,1,547,0.25510204081632654,250,3,1,749,0.07142857142857142,250,2,1,964,0.20408163265306123,250,1,1,1409,0.15306122448979592,
10010089,1148,168,2,0.0,453,6,47,2,1,100,0.11320754716981132,75,3,1,166,0.1792452830188679,72,2,1,202,0.19811320754716982,206,1,1,395,0.20754716981132076,250,1,1,733,0.07547169811320754,250,3,1,1229,0.22641509433962265,
10010089,1167,250,2,0.0,427,6,35,1,1,136,0.10377358490566038,78,2,1,177,0.19811320754716982,124,3,1,249,0.12264150943396226,97,1,1,300,0.14150943396226415,245,1,1,547,0.20754716981132076,250,2,1,797,0.22641509433962265,
10010089,1200,250,2,0.0,695,6,72,2,1,202,0.1557377049180328,245,3,1,531,0.18032786885245902,250,1,1,733,0.18032786885245902,250,2,1,797,0.1885245901639344,250,3,1,1194,0.13934426229508196,250,3,1,1229,0.1557377049180328,
10010045,1525,203,1,0.0,567,6,117,2,1,208,0.05,107,2,1,338,0.2,143,1,1,653,0.075,250,1,1,667,0.20833333333333334,250,2,1,948,0.225,250,0,0,2598,0.24166666666666667,
10010045,1616,143,1,0.3333333333333333,653,6,218,2,2,562,0.09848484848484848,203,1,1,567,0.06818181818181818,249,2,1,593,0.09090909090909091,250,2,1,948,0.2878787878787879,24,1,2,1094,0.2878787878787879,250,0,0,2598,0.16666666666666666,
10010045,1472,238,2,0.0,442,6,94,3,1,192,0.10185185185185185,250,3,1,349,0.19444444444444445,160,1,1,367,0.21296296296296297,250,2,1,541,0.21296296296296297,250,1,1,667,0.16666666666666666,250,2,1,1327,0.1111111111111111,
10010045,1490,115,2,0.0,290,6,88,3,1,148,0.1951219512195122,115,3,1,159,0.08536585365853659,107,2,1,338,0.07317073170731707,250,2,1,541,0.2073170731707317,250,1,1,667,0.21951219512195122,250,3,1,930,0.21951219512195122,
10010045,1504,250,2,0.0,526,6,91,3,1,294,0.17543859649122806,94,2,1,306,0.20175438596491227,199,3,1,399,0.12280701754385964,250,2,1,1114,0.24561403508771928,250,1,1,1530,0.11403508771929824,250,3,1,1594,0.14035087719298245,
10010045,1535,117,2,0.0,208,6,14,3,1,76,0.013157894736842105,107,2,1,338,0.19736842105263158,203,1,1,567,0.07894736842105263,250,3,1,930,0.2236842105263158,250,2,1,948,0.2631578947368421,250,3,1,1128,0.2236842105263158,
10010045,1589,250,2,0.16666666666666666,533,6,200,3,1,352,0.125,85,3,1,397,0.1875,176,3,2,404,0.140625,250,2,1,868,0.1171875,250,2,1,1114,0.15625,250,1,1,1530,0.2734375,
10010045,1605,112,2,0.3333333333333333,260,6,9,1,0,70,0.05952380952380952,1,1,0,396,0.2261904761904762,250,2,1,711,0.05952380952380952,250,2,1,868,0.27380952380952384,250,1,1,1530,0.19047619047619047,26,1,2,1532,0.19047619047619047,
10010045,1645,249,2,0.3333333333333333,593,6,196,3,1,444,0.14516129032258066,250,2,1,448,0.1532258064516129,218,2,2,562,0.23387096774193547,143,1,1,653,0.0967741935483871,24,1,2,1094,0.22580645161290322,250,3,1,1490,0.14516129032258066,
10010045,1649,250,2,0.16666666666666666,711,6,29,3,1,139,0.12142857142857143,112,2,1,260,0.03571428571428571,250,2,1,868,0.2857142857142857,250,3,1,984,0.18571428571428572,250,2,1,1172,0.10714285714285714,26,1,2,1532,0.2642857142857143,
10050130,62,250,1,0.6666666666666666,977,6,3,2,1,27,0.06329113924050633,2,1,0,214,0.16455696202531644,98,2,2,302,0.17721518987341772,158,1,2,864,0.20253164556962025,250,2,2,1114,0.13291139240506328,250,0,0,2526,0.25949367088607594,
10050130,143,224,2,0.3333333333333333,328,6,19,2,1,77,0.07142857142857142,132,1,1,432,0.11224489795918367,216,3,1,437,0.1326530612244898,250,3,1,541,0.23469387755102042,158,1,2,864,0.35714285714285715,250,2,2,1068,0.09183673469387756,
10050130,179,188,2,0.3333333333333333,665,6,37,2,1,126,0.09230769230769231,52,1,1,276,0.11538461538461539,126,2,1,331,0.13846153846153847,199,3,2,700,0.24615384615384617,36,2,2,859,0.18461538461538463,250,1,1,1020,0.2230769230769231,
10050130,224,126,2,0.16666666666666666,331,6,22,2,1,81,0.1,149,3,1,312,0.14444444444444443,250,3,1,643,0.2222222222222222,188,2,1,665,0.2,199,3,2,700,0.13333333333333333,250,1,1,1020,0.2,
10030021,988,94,1,0.0,158,6,81,2,1,148,0.19736842105263158,70,2,1,205,0.10526315789473684,52,1,1,241,0.013157894736842105,248,1,1,467,0.09210526315789473,250,2,1,506,0.21052631578947367,250,0,0,2153,0.3815789473684211,
10030021,1037,250,1,0.0,521,6,47,1,1,180,0.16101694915254236,248,1,1,467,0.17796610169491525,250,2,1,693,0.1694915254237288,250,2,1,785,0.17796610169491525,250,2,1,2139,0.2711864406779661,250,0,0,2153,0.0423728813559322,
10030021,1085,250,1,0.0,1286,6,47,1,1,180,0.12087912087912088,250,2,1,661,0.13736263736263737,250,1,1,728,0.09340659340659341,250,2,1,928,0.23076923076923078,250,2,1,2139,0.18681318681318682,250,0,0,2153,0.23076923076923078,
10030021,968,250,2,0.0,506,6,94,1,1,158,0.14545454545454545,70,2,1,205,0.20909090909090908,128,3,1,314,0.10909090909090909,248,1,1,467,0.2,250,2,1,693,0.13636363636363635,250,3,1,1741,0.2,
10030021,974,70,2,0.0,205,6,81,2,1,148,0.11538461538461539,94,1,1,158,0.10256410256410256,93,3,1,195,0.05128205128205128,128,3,1,314,0.11538461538461539,250,2,1,506,0.2948717948717949,250,3,1,843,0.32051282051282054,
10030021,997,100,2,0.0,228,6,41,1,1,109,0.02564102564102564,42,3,1,122,0.10256410256410256,250,3,1,299,0.16666666666666666,135,2,1,313,0.23076923076923078,250,1,1,819,0.21794871794871795,250,2,1,1061,0.2564102564102564,
10030021,998,250,2,0.0,693,6,248,1,1,467,0.1796875,210,3,1,476,0.1015625,250,2,1,506,0.1171875,250,1,1,521,0.15625,250,2,1,785,0.25,250,3,1,1741,0.1953125,
10030021,1023,250,2,0.0,785,6,210,3,1,476,0.17123287671232876,250,1,1,521,0.14383561643835616,250,2,1,693,0.2191780821917808,250,3,1,747,0.08904109589041095,250,3,1,1017,0.3219178082191781,250,2,1,2139,0.0547945205479452,
10030021,1026,135,2,0.0,313,6,42,3,1,122,0.10869565217391304,100,2,1,228,0.1956521739130435,197,3,1,490,0.1956521739130435,250,2,1,645,0.010869565217391304,250,1,1,819,0.2826086956521739,250,3,1,1530,0.20652173913043478,
10030021,1112,250,2,0.0,649,6,46,2,1,136,0.15151515151515152,55,3,1,191,0.09848484848484848,102,2,1,219,0.17424242424242425,250,2,1,645,0.22727272727272727,250,1,1,728,0.18181818181818182,250,3,1,914,0.16666666666666666,
10030021,1122,250,2,0.0,928,6,102,2,1,219,0.10256410256410256,108,3,1,263,0.14743589743589744,250,2,1,661,0.08974358974358974,250,1,1,728,0.1987179487179487,250,3,1,842,0.19230769230769232,250,1,1,1286,0.2692307692307692,
10030021,1169,250,2,0.0,661,6,108,3,1,263,0.10606060606060606,250,2,1,928,0.10606060606060606,250,3,1,972,0.1590909090909091,250,3,1,994,0.24242424242424243,250,1,1,1286,0.1893939393939394,250,2,1,2139,0.19696969696969696,
10010073,847,250,1,0.0,719,6,22,1,1,103,0.07352941176470588,250,2,1,299,0.10294117647058823,226,2,1,523,0.10294117647058823,250,1,1,915,0.13970588235294118,250,2,1,1132,0.27941176470588236,250,0,0,2516,0.3014705882352941,
10010073,878,250,1,0.0,915,6,226,2,1,523,0.16455696202531644,250,1,1,568,0.26582278481012656,250,1,1,719,0.12025316455696203,250,2,1,768,0.17721518987341772,250,2,1,1131,0.11392405063291139,250,0,0,2516,0.15822784810126583,
10010073,913,127,1,0.0,373,6,13,1,1,72,0.04,36,2,1,90,0.06,141,1,1,471,0.19,250,2,1,924,0.24,250,2,1,1211,0.25,250,0,0,2516,0.22,
10010073,784,219,2,0.0,449,6,250,3,1,227,0.0625,250,2,1,299,0.20535714285714285,194,3,1,308,0.17857142857142858,250,3,1,737,0.25892857142857145,250,1,1,942,0.19642857142857142,250,2,1,1036,0.09821428571428571,
10010073,795,250,2,0.0,299,6,22,1,1,103,0.1511627906976744,250,3,1,227,0.18604651162790697,219,2,1,449,0.26744186046511625,250,1,1,719,0.16279069767441862,250,1,1,942,0.1744186046511628,250,2,1,1132,0.05813953488372093,
