SSN,GSN,DIS,RCP,NRF,IRS,INN,dis1,rcp1,typ1,irs1,lf1,dis2,rcp2,typ2,irs2,lf2,dis3,rcp3,typ3,irs3,lf3,dis4,rcp4,typ4,irs4,lf4,dis5,rcp5,typ5,irs5,lf5,dis6,rcp6,typ6,irs6,lf6,dis7,rcp7,typ7,irs7,lf7,NAN
10010089,1004,250,1,0.0,453,7,126,2,1,106,0.13636363636363635,27,1,1,140,0.11818181818181818,128,2,1,343,0.08181818181818182,250,2,1,648,0.20909090909090908,250,2,1,969,0.2545454545454545,250,1,1,1821,0.05454545454545454,250,0,0,2510,0.14545454545454545,
10010089,1127,250,1,0.0,733,7,72,2,1,202,0.13432835820895522,97,1,1,300,0.1791044776119403,206,1,1,395,0.11940298507462686,168,2,1,453,0.05970149253731343,250,2,1,695,0.16417910447761194,250,2,1,797,0.11940298507462686,250,0,0,2510,0.22388059701492538,
10010089,936,250,2,0.0,943,7,13,3,1,49,0.08333333333333333,213,3,1,190,0.057692307692307696,197,2,1,309,0.07692307692307693,197,3,1,339,0.14743589743589744,184,2,1,406,0.23717948717948717,250,3,1,661,0.23717948717948717,250,1,1,1821,0.16025641025641027,
10010089,1005,250,2,0.0,648,7,126,2,1,106,0.0661764705882353,27,1,1,140,0.11029411764705882,120,3,1,238,0.0661764705882353,110,2,1,319,0.09558823529411764,250,1,1,453,0.16911764705882354,250,3,1,828,0.27205882352941174,250,1,1,1409,0.22058823529411764,
10010089,1016,250,2,0.0,570,7,8,3,1,67,0.06896551724137931,51,2,1,146,0.14655172413793102,142,3,1,355,0.1896551724137931,200,3,1,394,0.12931034482758622,250,3,1,690,0.19827586206896552,250,1,1,851,0.1810344827586207,250,2,1,999,0.08620689655172414,
10010089,1141,250,2,0.0,964,7,45,3,1,115,0.06329113924050633,46,3,1,200,0.10759493670886076,65,2,1,234,0.16455696202531644,236,2,1,392,0.12658227848101267,250,3,1,497,0.11392405063291139,250,3,1,1125,0.2468354430379747,250,1,1,1409,0.17721518987341772,
10010089,1177,250,2,0.0,797,7,124,3,1,249,0.07142857142857142,97,1,1,300,0.10714285714285714,250,2,1,427,0.17142857142857143,245,3,1,531,0.14285714285714285,250,3,1,637,0.22857142857142856,250,2,1,695,0.16428571428571428,250,1,1,733,0.11428571428571428,
10010042,432,250,1,0.0,1065,7,18,1,1,48,0.07142857142857142,33,2,1,152,0.07738095238095238,94,2,1,273,0.05952380952380952,111,1,1,489,0.10119047619047619,250,2,1,891,0.23214285714285715,250,2,1,1088,0.20833333333333334,250,0,0,2523,0.25,
10010042,496,250,1,0.14285714285714285,1533,7,250,2,1,463,0.057692307692307696,250,2,1,606,0.057692307692307696,250,2,1,681,0.20192307692307693,174,1,2,809,0.1875,250,2,1,1044,0.16346153846153846,250,1,1,1076,0.16346153846153846,250,0,0,2523,0.16826923076923078,
10010042,400,250,2,0.0,1088,7,33,2,1,152,0.05421686746987952,94,2,1,273,0.13253012048192772,202,3,1,387,0.10843373493975904,174,3,1,518,0.1927710843373494,250,2,1,631,0.20481927710843373,250,1,1,1065,0.21084337349397592,250,3,1,1335,0.0963855421686747,
10010042,401,250,2,0.14285714285714285,891,7,74,3,1,201,0.14814814814814814,94,2,1,273,0.043209876543209874,111,1,1,489,0.20987654320987653,174,1,2,809,0.06790123456790123,250,2,1,972,0.04938271604938271,250,1,1,1065,0.24074074074074073,250,3,1,1500,0.24074074074074073,
