SPPARKS (19 Nov 2013 -- potts-ori branch)
seed 621398049
app_style	 potts/ori 1
dimension	 2
lattice		 sq/8n 1.0
read_dream3d	 filename initial.dream3d load_ori
create_sites boxCreating sites ...
  1048576 sites
  1048576 sites have 8 neighbors
  1048576 values

set_mobility	 binary theta_max 50 min_mobility 0.001
precompute    	 mobility

solve_style      tree
sector		 no

temperature	 0.9

stats            2000.0
diag_style	 grainsize filename stats.h5

dump txtfile text 500000 AGG_Sites.*.txt x y z 

dump		 1 dream3d 5000 agg_dump*.dream3d id site version 6.0 dataset SyntheticVolume
dump_modify	 1 pad 6

run              500000.0
Setting up run ...
      Time    Naccept    Nreject    Nsweeps        CPU    Ngrains
         0          0          0          0          0       1734
   2000.02     207643          0          0       1.69       1729
   4000.02     380127          0          0       3.22       1721
      6000     540104          0          0       4.76       1718
      8000     701835          0          0       6.28       1715
     10000     860946          0          0       7.83       1710
     12000    1022239          0          0       9.32       1706
     14000    1185087          0          0       10.9       1698
     16000    1348738          0          0       12.6       1692
     18000    1509790          0          0       14.2       1687
     20000    1666306          0          0       15.9       1683
     22000    1826682          0          0       17.7       1676
     24000    1988516          0          0       19.3       1670
     26000    2150989          0          0       21.3       1664
     28000    2312729          0          0       23.1       1658
     30000    2471774          0          0         25       1653
     32000    2632383          0          0       26.9       1649
     34000    2793909          0          0       28.9       1641
     36000    2954312          0          0       30.9       1635
   38000.1    3115584          0          0       32.9       1631
     40000    3278252          0          0       34.9       1626
     42000    3440518          0          0       36.8       1622
     44000    3601648          0          0       38.7       1617
     46000    3761290          0          0       40.9       1611
     48000    3883977          0          0       42.6       1607
     50000    4006479          0          0       44.4       1600
     52000    4127851          0          0       46.1       1590
     54000    4248960          0          0       47.8       1586
     56000    4369108          0          0       49.7       1580
     58000    4489721          0          0       51.4       1574
     60000    4610975          0          0       54.5       1570
     62000    4731749          0          0       56.1       1564
     64000    4853054          0          0       57.7       1557
     66000    4974610          0          0       59.6       1552
     68000    5096159          0          0       61.2       1550
     70000    5217999          0          0       63.2       1546
     72000    5339226          0          0       64.6       1543
     74000    5458608          0          0       66.2       1537
     76000    5578745          0          0         68       1532
     78000    5697359          0          0       69.6       1530
     80000    5817408          0          0       72.8       1526
     82000    5935220          0          0       74.3       1522
     84000    6052516          0          0       75.9       1518
     86000    6169183          0          0       78.9       1518
     88000    6286559          0          0       79.9       1517
     90000    6405258          0          0        120       1517
     92000    6525644          0          0        152       1511
     94000    6647935          0          0        155       1511
     96000    6770026          0          0        159       1509
     98000    6893256          0          0        162       1506
    100000    7017152          0          0        210       1500
    102000    7141151          0          0        215       1497
    104000    7265391          0          0        219       1494
    106000    7390131          0          0        232       1488
    108000    7514897          0          0        234       1481
    110000    7640936          0          0        238       1477
    112000    7765884          0          0        239       1472
    114000    7890340          0          0        240       1470
    116000    8014080          0          0        252       1466
    118000    8138561          0          0        253       1461
    120000    8262684          0          0        255       1455
    122000    8388761          0          0        256       1451
    124000    8514990          0          0        257       1444
    126000    8641904          0          0        259       1442
    128000    8767957          0          0        261       1436
    130000    8896298          0          0        269       1430
    132000    9025646          0          0        270       1428
    134000    9153884          0          0        272       1423
    136000    9280936          0          0        275       1415
